old_url,new_url,status,new_entity,experience_themes,old_word_count,old_has_meta_description,old_title,notes,migration_status
/yoga-holiday-in-goa/,/travel-guide/yoga-holiday-in-goa,301,Article (BLOG),,695,yes,Yoga Holiday in Goa | Beachfront Wellness Retreat in India,,planned
/best-yoga-retreats-in-goa-2026/,/travel-guide/best-yoga-retreats-in-goa-2026,301,Article (BLOG),,866,yes,"My Pick of the Best Yoga Retreats in Goa, India (2026)",,planned
/best-time-to-visit-goa-for-yoga-retreat/,/travel-guide/best-time-to-visit-goa-for-yoga-retreat,301,Article (BLOG),,1146,yes,Best Time to Visit Goa for a Yoga Retreat (2026 Guide),,planned
/the-ultimate-guide-to-golden-triangle-india-tours-explore-the-best-of-india-in-style/,/travel-guide/the-ultimate-guide-to-golden-triangle-india-tours-explore-the-best-of-india-in-style,301,Article (BLOG),,820,yes,The Ultimate Guide to Golden Triangle India Tours (2026),,planned
/top-5-opulent-hotels-in-jodhpur-for-a-regal-stay/,/travel-guide/top-5-opulent-hotels-in-jodhpur-for-a-regal-stay,301,Article (BLOG),,526,yes,Top 5 Luxury Hotels in Jodhpur for a Regal Stay (2026 Guide),,planned
/200-hour-yoga-teacher-training-in-goa-guide/,/travel-guide/200-hour-yoga-teacher-training-in-goa-guide,301,Article (BLOG),,1198,yes,200-Hour Yoga Teacher Training in Goa | India Uncharted,,planned
/yoga-holiday-india-goa/,/travel-guide/yoga-holiday-india-goa,301,Article (BLOG),,934,yes,Yoga Holiday in India: A Spiritual Journey,,planned
/10-fascinating-facts-about-goa-indias-tropical-paradise/,/travel-guide/10-fascinating-facts-about-goa-indias-tropical-paradise,301,Article (BLOG),,1062,yes,10 Fascinating Facts About Goa: Discover India’s Tropical Paradise,,planned
/luxury-yoga-retreats-goa/,/travel-guide/luxury-yoga-retreats-goa,301,Article (BLOG),,1956,yes,Luxury Yoga Retreats in Goa 2026 | India Uncharted,,planned
/best-ayurvedic-wellness-retreat-goa/,/travel-guide/best-ayurvedic-wellness-retreat-goa,301,Article (BLOG),,1034,yes,5 Best Ayurvedic Wellness Retreats in Goa (2026 Guide),,planned
